Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
1562157_at,34.02182757526948,2.3671534549979986e-27,4424.243957022242,0.0,0.15218039188013485,0.03972994942991746
205110_s_at,30.913167974400015,1.0796945662207334e-25,521183.93031894846,0.0,0.02954191130721638,0.6913793565136085
205614_x_at,26.06410056171145,7.101945924329729e-23,116233.26206667503,0.0,0.06104188229512509,0.41172210456661457
205015_s_at,24.015437726698437,1.3779867158903261e-21,7137.7265203203,0.0,0.20913593691355906,0.004493840091822793
1558322_a_at,23.432828090649046,3.290703264684262e-21,162979.9911864018,0.0,0.1460261396570794,0.04855766864070016
206023_at,23.20805439943813,4.619545616392006e-21,1854020.6660213664,0.0,0.27738588754610954,0.00014378370330565097
206871_at,23.072368297954654,5.674445889485218e-21,8208853.4688714435,0.0,0.04075300131916171,0.583866020332845
200986_at,22.76809893044763,9.022625082539001e-21,317795.2908682097,0.0,-0.0706632564050617,0.34183103790073865
204150_at,22.217723104768705,2.1066575269465803e-20,1469751.3838153137,0.0,0.11094809481934148,0.13485865310719783
1554982_a_at,21.86189676783966,3.668060092037502e-20,6064.727551223281,0.0,0.2111674790524878,0.004111518260775918
203074_at,21.613810869357888,5.4157574566413784e-20,1339425.0892734511,0.0,0.056463933272032,0.4477317371117119
1559656_a_at,21.321207768559844,8.602921108535093e-20,45360.38507572576,0.0,0.024487638079492644,0.7421238567771118
203916_at,21.17046811335244,1.0934153391987201e-19,62631.468050344796,0.0,0.17158458430934692,0.020206044684058014
202411_at,21.15766556380267,1.115960240315029e-19,524597.3049113915,0.0,0.2645448045819863,0.0002959008803637074
1556194_a_at,20.11651178469823,6.005522516687628e-19,53531.14783829121,0.0,0.010028803600117988,0.8928167236738849
1552627_a_at,19.951188948719405,7.879155469099262e-19,39695.53280392204,0.0,-0.050810756038810065,0.49455205566058846
204237_at,19.8831677442159,8.813591397051156e-19,152430.15636928243,0.0,0.17090481375398767,0.020713815523745994
203969_at,19.658713941973172,1.277605334596711e-18,22328.09195041062,0.0,-0.08108980814330832,0.27516545781793256
204235_s_at,18.293611006593046,1.284132832437541e-17,110852.30957204918,0.0,0.19941008763426774,0.0068033328079277425
