Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
1007_s_at,3.557129663573057,0.00044634867157054896,1.2445571314304258,0.9986355641940862,-0.07374315565891638,0.32115125418080676
1053_at,1.0238996799079036,0.42282294538675264,129.90384285335267,1.2411779317493774e-23,0.07778518681943136,0.2952679790448444
117_at,6.601511531290298,4.371652194337726e-08,2.8192102336074214,0.9710332484403764,0.3763225761755936,1.5192915559233786e-07
121_at,0.9482675027247267,0.4848825607733487,0.38764773070139813,0.9999898657217038,-0.02285771565043914,0.7587407701334734
1255_g_at,1.23661300379875,0.27556353226349545,5.668748309863648,0.7725587514300083,-0.002179253087455152,0.9766425386437652
1294_at,4.431374988995106,3.1035722957541675e-05,0.019400556419009046,0.9999999999834718,-0.2317441606488767,0.001596309433137787
1316_at,0.8702652660509332,0.5530080220670184,1.850778150777413,0.9936134310182684,-0.03386030303090809,0.6490764664462981
1320_at,1.4016577679921949,0.19066358930116364,0.3498273915805331,0.9999935158723133,0.02548535811543775,0.732010143687705
1405_i_at,6.214519475550968,1.3876971193593546e-07,86.16422590973622,9.548811396444898e-15,0.2760783779276797,0.00015500164875276734
1431_at,5.000965359319032,5.451230834226595e-06,2.821421069978105,0.9709559989494387,0.0076145348501561565,0.9185160350856901
1438_at,1.46487950741238,0.16443148496348495,1.3099113034769958,0.998326666177509,0.13567559556210443,0.06705784201102061
1487_at,7.640974450474907,2.0571517596852723e-09,11.64182414196756,0.234262750399685,0.241092590317548,0.0010100009722815541
1494_f_at,1.7073671825665164,0.0904989466443055,5.3573373170907255,0.8021124817597837,0.0635437098403279,0.39278520847445414
1552256_a_at,4.314584185467514,4.435109181954475e-05,5.142793057492927,0.8216871453651268,-0.3240904846713173,7.6207868364780815e-06
1552257_a_at,2.85375149468927,0.003679630057046873,1.196223256518228,0.9988359427141269,0.1261315454242882,0.0888705441818786
1552258_at,2.074056711767962,0.034254302203222516,501.09491141431636,3.351028924602475e-102,-0.14298766451031938,0.05348538628664661
1552261_at,1.6365489886651063,0.1082154813878207,8.426567647942004,0.4917943312317319,-0.1097531293710957,0.13913736184104142
1552263_at,3.845347718366725,0.00018582195134379665,54.10232606866568,1.8051290198834533e-08,0.22727393046768515,0.001974576137203653
1552264_a_at,3.139657173685959,0.0015717404428740494,4.679748870645547,0.8612844474898438,0.14627236947015335,0.04817546785487723
1552266_at,1.0571274485510744,0.39704848434683493,15.529264843633172,0.0773866281804058,0.020558391979087424,0.7823696322544043
1552269_at,1.0419952578826956,0.40866659592225774,0.7495319734770678,0.9998299366770471,0.08122930597940144,0.2743377586699043
1552271_at,1.0327266502694274,0.415882185778829,0.14475027769798215,0.9999998670756562,0.03804790257114863,0.6090983826637936
1552272_a_at,0.9272974668427382,0.5028367503973838,9.434614502345086,0.3981599439353305,-0.0426926105861137,0.5660765563961464
1552274_at,5.762800771214544,5.399565837606201e-07,4.5410519855733265,0.8723431218117476,0.11801317641933916,0.1115919125337222
1552275_s_at,4.303507166258336,4.587842595338863e-05,2.6196335904985677,0.9774911128305591,0.0551492259184763,0.4583918906226966
1552276_a_at,1.475162395477787,0.16046738272341635,8.21174859079827,0.5129561105929572,-0.11283703780110534,0.12830175226004614
