Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
203300_x_at,20.6579954711696,2.2531178119872017e-23,50.727922038994244,7.85769211506097e-08,0.3512146519631527,1.089266606131833e-06
202890_at,20.313779752701894,4.63820853448106e-23,542.4556013005624,4.612198382357766e-111,-0.2838512141817456,9.862243007841614e-05
205789_at,20.27550032505292,5.027791615528789e-23,67.02792437375223,5.8082817419116596e-11,0.48200768778943004,4.8995249720638596e-12
1553043_a_at,18.722385506554375,1.411262172938999e-21,372.04344125711367,1.2526384640842545e-74,0.2297573872139972,0.0017554118817412526
202599_s_at,18.09153474231138,5.668104949856239e-21,163.13901352914664,1.6531793865953757e-30,-0.24669272635137265,0.0007612484985363602
203299_s_at,17.3217468754578,3.184000739523158e-20,56.31243950044414,6.841183227148444e-09,0.3469047268460599,1.5023003314040282e-06
203271_s_at,16.89573255649037,8.393586153663645e-20,65.94600241064919,9.441134088342473e-11,0.3577033552172319,6.652652676792031e-07
201549_x_at,16.736827833838767,1.2081465958210598e-19,113.6057518447453,2.7075810382299794e-20,-0.33398884143779894,3.827502749672097e-06
202877_s_at,16.460045470911833,2.286296987320659e-19,144.8185881878938,1.0420410456716808e-26,0.46981956258754687,1.9511756768799046e-11
205944_s_at,16.452896742019558,2.324410618662245e-19,28.421529509538978,0.0008107963559317437,0.33374936320242427,3.892915856801501e-06
204834_at,16.433068297562638,2.433522465162578e-19,46.68541381919497,4.491241010069951e-07,0.4496438104197503,1.710556966496537e-10
201923_at,16.384013094311918,2.7262519652637064e-19,2298.7451554636573,0.0,0.19366396150094048,0.00861913702933837
204502_at,16.134406987056103,4.869900992175259e-19,95.64172437736512,1.1938538394362171e-16,0.4409869399182007,4.1606665458365723e-10
205898_at,16.012311374129226,6.476553613147029e-19,85.79257724780345,1.1330243920557046e-14,0.4296628757201498,1.2823625560795853e-09
203547_at,15.978839561403076,7.004166275236132e-19,50.262168965956654,9.61606045831873e-08,0.5428186390248884,2.055156880111799e-15
202545_at,15.798109682458781,1.0702993898557732e-18,1014.1990255460369,1.495077387205977e-212,0.3630363817311006,4.3995573339942104e-07
203508_at,15.792129009891864,1.0854593035895785e-18,39.68764175689008,8.655239019324958e-06,0.2984046667813691,4.0790515746576604e-05
202878_s_at,15.428393718405129,2.5636766120785752e-18,181.2577706532905,2.7674073627487023e-34,0.47171446559728614,1.579572335936162e-11
1563088_a_at,15.289640290478536,3.565841639817451e-18,18.58891971231949,0.028924172041519352,0.43697321592089916,6.230086770507927e-10
206278_at,15.27970058335434,3.6512950178311886e-18,44.69615915012887,1.0500507657579333e-06,0.40360356617501036,1.4677221411210474e-08
1552553_a_at,15.255140570160936,3.871426718074663e-18,68.20590381821877,3.4191515493554666e-11,0.3293469995512317,5.302371193192683e-06
206100_at,15.208822205832986,4.3237704640666106e-18,55.53883717453762,9.613460713368558e-09,0.505531787234837,2.901042070005571e-13
202803_s_at,15.163602872114474,4.816932117809785e-18,166.7997750142043,2.862273833846482e-31,0.3041450886108454,2.8416054944943124e-05
1552690_a_at,15.095808446583792,5.6649829072438775e-18,22.590058182491738,0.007185668167424423,0.3283344987084728,5.689066078327456e-06
205349_at,15.06739273823153,6.0639372286773775e-18,282.12330322997343,1.606285183354827e-55,-0.4421397254378059,3.7015352732806007e-10
206233_at,15.020187622419758,6.790504051430937e-18,215.1200424482671,2.2214649136231862e-41,-0.5187131545929822,5.4008796412889776e-14
204158_s_at,14.835155026766847,1.0595573376948597e-17,58.182249853187805,2.998742717734456e-09,0.2694994421074686,0.00022492893172429293
202897_at,14.818269316612536,1.1035791630292413e-17,36.26042114771034,3.564194016664386e-05,0.4352756266996709,7.378435498469017e-10
206206_at,14.804907005843546,1.1397223010053216e-17,268.2257880808021,1.404137189591239e-52,0.30580153692259177,2.5565011350772776e-05
203588_s_at,14.749580384787853,1.3025638210608854e-17,29.179317887644828,0.0006044125172268044,-0.30995142062503234,1.9560876447730244e-05
201360_at,14.466573134381909,2.5869149407462924e-17,121.56595420449375,6.385438244277525e-22,0.4618593842030701,4.67370286439234e-11
201548_s_at,14.430938728274565,2.8213521113723725e-17,47.81652135611055,2.76381199664184e-07,-0.3134624630066445,1.5547343307514207e-05
202747_s_at,14.287472738066828,4.003985139853448e-17,88.27217591862167,3.614785322225979e-15,-0.28515093145996784,9.132189401968215e-05
205707_at,14.283306995640624,4.044971712458311e-17,41.57981420145825,3.921729314205616e-06,0.41309563419572476,6.186715676633592e-09
204497_at,14.282370400630167,4.054245066040581e-17,271.5158313546371,2.8273402453444063e-53,0.35207938910747066,1.0206349170308868e-06
204961_s_at,14.165159242877117,5.402069460977275e-17,97.78577365328806,4.409182389742362e-17,0.39458827366582844,3.2529717808728106e-08
205685_at,14.133443878169437,5.839206272896861e-17,233.9301250051446,2.445395530869667e-45,0.3181069844124629,1.1422961096961714e-05
205099_s_at,14.10737712694259,6.225147054845958e-17,17.21156680288989,0.045504120696533895,0.402190169994909,1.665383412790204e-08
1558105_a_at,13.986025217455484,8.390732835585977e-17,110.95200848410063,9.409423877483406e-20,-0.4056018589222903,1.2263925477313034e-08
205936_s_at,13.966921661765756,8.795230295322179e-17,58.71231621193408,2.3720724551568015e-09,0.43777970593501814,5.747084534726311e-10
204227_s_at,13.961682959566637,8.909558746329082e-17,83.6276322457355,3.065135778299694e-14,0.22866261018692527,0.0018491366350965883
204255_s_at,13.827643766766348,1.240597153376581e-16,37.09446098262571,2.5316120718172074e-05,0.3476069105523692,1.4261006941443454e-06
205624_at,13.745536740050992,1.5203740716275733e-16,134.49540604090507,1.4085468647721724e-24,-0.25127243506378205,0.0006011955222494522
204254_s_at,13.73583716666235,1.5573867848922808e-16,92.6070003740616,4.875217815007619e-16,0.4039599624238947,1.4215677219534844e-08
201393_s_at,13.73520489136434,1.5598308700300457e-16,30.907660901602192,0.00030702423490619045,0.34373141639205024,1.89775253768955e-06
1554240_a_at,13.621743978613738,2.0676136451386793e-16,52.7112611035245,3.315432269902128e-08,0.3137733068354079,1.5232306264099834e-05
201954_at,13.592723486184203,2.2224534824338146e-16,69.46693485745145,1.9368375564313344e-11,0.3078732515247093,2.237825318754391e-05
206277_at,13.518773285683666,2.6721497639998637e-16,117.9699548365139,3.476889547435222e-21,0.4252215314985537,1.9718446080773417e-09
204960_at,13.51836750039624,2.674855711158165e-16,172.7542091799734,1.6458842689955866e-32,-0.45158682005959666,1.3963548889417733e-10
200986_at,13.493805620259469,2.843908468783679e-16,22.830623915402363,0.006588127319538158,-0.1651582090361028,0.025464926459771522
