Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
ARHGAP4,36.55313521660042,1.6377944641731428e-33,6.688600328411428,0.5705723246900347,-0.07288517550693313,0.32682894370210847
MAP7.3,27.887587456287687,1.4249106938274383e-27,22.463462636523893,0.004125919307975608,-0.2731289590410393,0.0001833740926298669
MAP7.1,27.887587456287687,1.4249106938274383e-27,22.463462636523893,0.004125919307975608,-0.2731289590410393,0.0001833740926298669
ANXA8.1,24.318362729952792,7.830281775475033e-25,23.654889857250772,0.002617736838791311,0.15823089322470882,0.03240841082708995
ANXA8.3,24.318362729952792,7.830281775475033e-25,23.654889857250772,0.002617736838791311,0.15823089322470882,0.03240841082708995
PRDX4,23.27896787380667,5.363313028890381e-24,5.908010385761055,0.657535428163678,0.10564080619412479,0.15465622678287072
AP1S2.1,22.198459810849545,4.145152730930358e-23,6.879596255547138,0.5496774286311201,0.3330829464653858,4.080585511381166e-06
AP1S2.3,22.198459810849545,4.145152730930358e-23,6.879596255547138,0.5496774286311201,0.3330829464653858,4.080585511381166e-06
SKAP2.3,22.10860931655021,4.9238872873948714e-23,9.807804222368633,0.2787755805973232,-0.05109296144903287,0.49215485128462383
SKAP2.1,22.10860931655021,4.9238872873948714e-23,9.807804222368633,0.2787755805973232,-0.05109296144903287,0.49215485128462383
CD1D,20.950412679375187,4.667302020057009e-22,30.346788502175997,0.00018352122981032633,0.4741012110209273,1.2082649106447976e-11
CD300LF,20.941353347016356,4.751192192298744e-22,6.4995158399025375,0.5914613477073642,0.16853485746407373,0.022571332204510724
FGF13,20.85744544345561,5.604444561237945e-22,38.46938171067844,6.16442998177327e-06,-0.014403177854437997,0.8465536842762766
MFNG.3,20.41007057572365,1.3589389605491022e-21,1.7905547094298642,0.9867732857444925,-0.059721745447520104,0.42192729768374837
MFNG.1,20.41007057572365,1.3589389605491022e-21,1.7905547094298642,0.9867732857444925,-0.059721745447520104,0.42192729768374837
SAMHD1.3,20.38893266611534,1.4173211426664693e-21,21.117175037072037,0.006842592772474739,0.38319345042791475,8.602498889547501e-08
SAMHD1,20.38893266611534,1.4173211426664693e-21,21.117175037072037,0.006842592772474739,0.38319345042791475,8.602498889547501e-08
SAMHD1.6,20.38893266611534,1.4173211426664693e-21,21.117175037072037,0.006842592772474739,0.38319345042791475,8.602498889547501e-08
ITM2A.1,19.971361122616056,3.2666106246935056e-21,18.80677681544489,0.015927869257163014,-0.3139493335645669,1.50565915498494e-05
ITM2A.3,19.971361122616056,3.2666106246935056e-21,18.80677681544489,0.015927869257163014,-0.3139493335645669,1.50565915498494e-05
SIX3,19.138668751119464,1.767315079980086e-20,35.92660848782234,1.811178379651238e-05,-0.0355463965658221,0.6328503548424358
PTPRCAP,19.04769889446492,2.1293395106330152e-20,8.344348522486392,0.40057615460955326,-0.4694647295310082,2.029625721075853e-11
GRN,18.586018395348752,5.514920060162615e-20,6.692996414911011,0.5700888871235184,0.44348608173859594,3.227251742674712e-10
CCR1.2,18.472788030907328,6.975285994458324e-20,12.424940285892495,0.13322723893928748,0.4652742920585692,3.22189084033415e-11
CCR1,18.472788030907328,6.975285994458324e-20,12.424940285892495,0.13322723893928748,0.4652742920585692,3.22189084033415e-11
PEX3.4,18.344098556019706,9.116583211444066e-20,1.9574073558180545,0.9822898828412038,-0.22075758479076926,0.0026730719898965557
PEX3.7,18.344098556019706,9.116583211444066e-20,1.9574073558180545,0.9822898828412038,-0.22075758479076926,0.0026730719898965557
