Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
MAP7.3,27.887587456287687,1.4249106938274383e-27,22.463462636523893,0.004125919307975608,-0.2731289590410393,0.0001833740926298669
MAP7.1,27.887587456287687,1.4249106938274383e-27,22.463462636523893,0.004125919307975608,-0.2731289590410393,0.0001833740926298669
ANXA8.1,24.318362729952792,7.830281775475033e-25,23.654889857250772,0.002617736838791311,0.15823089322470882,0.03240841082708995
ANXA8.3,24.318362729952792,7.830281775475033e-25,23.654889857250772,0.002617736838791311,0.15823089322470882,0.03240841082708995
CD1D,20.950412679375187,4.667302020057009e-22,30.346788502175997,0.00018352122981032633,0.4741012110209273,1.2082649106447976e-11
SAMHD1.3,20.38893266611534,1.4173211426664693e-21,21.117175037072037,0.006842592772474739,0.38319345042791475,8.602498889547501e-08
SAMHD1,20.38893266611534,1.4173211426664693e-21,21.117175037072037,0.006842592772474739,0.38319345042791475,8.602498889547501e-08
SAMHD1.6,20.38893266611534,1.4173211426664693e-21,21.117175037072037,0.006842592772474739,0.38319345042791475,8.602498889547501e-08
ITM2A.1,19.971361122616056,3.2666106246935056e-21,18.80677681544489,0.015927869257163014,-0.3139493335645669,1.50565915498494e-05
ITM2A.3,19.971361122616056,3.2666106246935056e-21,18.80677681544489,0.015927869257163014,-0.3139493335645669,1.50565915498494e-05
CLTCL1,17.925805126286743,2.1883519746342205e-19,23.544967879336088,0.0027306943630776483,0.3341045522439215,3.796272181925236e-06
ITM2A,17.771959315899267,3.026216008870729e-19,16.205960672073413,0.039525278670963,-0.30927510587375734,2.0438756328567314e-05
ITM2A.2,17.771959315899267,3.026216008870729e-19,16.205960672073413,0.039525278670963,-0.30927510587375734,2.0438756328567314e-05
NLRC4,17.346927821680666,7.454807837450114e-19,15.954950927834266,0.04302946002534564,0.30512800292530073,2.6690099277139888e-05
NLRC4.2,17.346927821680666,7.454807837450114e-19,15.954950927834266,0.04302946002534564,0.30512800292530073,2.6690099277139888e-05
LOC284837,17.125116154009447,1.1975588371043462e-18,16.131146463690325,0.04054100899154223,0.43752989635023337,5.892682391901815e-10
MTMR11,16.656971392193675,3.2829731159771885e-18,39.524735418219805,3.92735749654667e-06,0.4207798333873365,3.0134289643203105e-09
MTMR11.2,16.656971392193675,3.2829731159771885e-18,39.524735418219805,3.92735749654667e-06,0.4207798333873365,3.0134289643203105e-09
CX3CR1.3,16.414866185414265,5.5545499400989914e-18,21.152912018667923,0.0067521357072569095,0.41487753766529234,5.244641002570476e-09
CX3CR1.1,16.414866185414265,5.5545499400989914e-18,21.152912018667923,0.0067521357072569095,0.41487753766529234,5.244641002570476e-09
FGL2,15.8972144049109,1.7271430218542574e-17,16.785755807683056,0.03241893367689566,0.43927495947818773,4.945690382922105e-10
CPM,15.60795520986837,3.275378683462134e-17,34.64860631126234,3.098023604977238e-05,0.49667524761071563,8.625294198106746e-13
