Ensembl ID,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation),RFE Score
ENSG00000143384,65.33120263761165,1.6515895845905991e-10,3821.771536860302,0.0,0.7289915380581953,3.8645465620283475e-13,408
ENSG00000102879,60.546244433105976,4.722948516577847e-10,8897.823963434643,0.0,0.6932977474328268,1.4838326617281843e-11,657
ENSG00000099622,58.6875186349726,7.195465534556399e-10,3022.6837443353925,0.0,0.6753231115504359,7.68512484201222e-11,682
ENSG00000169564,55.12498022291598,1.6475950637345464e-09,1647.314056231827,0.0,0.6767585798472601,6.767782436865655e-11,263
ENSG00000142347,54.947092921957065,1.7185009410761023e-09,7009.081602989635,0.0,0.7004073329368516,7.488173932649215e-12,421
ENSG00000108654,52.9993968258363,2.739483644696457e-09,4408.789750644067,0.0,0.6946240212886496,1.3080589994387581e-11,612
ENSG00000135821,50.79810044558583,4.6931638034479985e-09,2979.02212550551,0.0,0.7066938867896042,4.021984725211329e-12,456
ENSG00000112303,48.64506475356422,8.042775234481887e-09,4714.166288833921,0.0,0.6625920429433583,2.3021230943801013e-10,588
ENSG00000180871,45.781003229349984,1.679249912056932e-08,5008.7421580679675,0.0,0.6759643101080988,7.261562420489399e-11,197
ENSG00000013364,45.766331534068875,1.6856953029588712e-08,1478.5964466875444,0.0,0.670849158440922,1.136979464431956e-10,740
ENSG00000123329,45.143340874549885,1.984613115820695e-08,2393.2692054566132,0.0,0.6533812716681122,4.929345646421421e-10,538
ENSG00000197622,43.56991304886503,3.012677864930363e-08,2891.176012745336,0.0,0.6530597760678636,5.059718064494871e-10,144
ENSG00000118816,41.93974588667104,4.6797519863396044e-08,839.5000820616804,1.3940787206625386e-184,0.6482480023522703,7.450776693370223e-10,554
ENSG00000140350,39.17879865893054,1.0059731043693824e-07,1272.5413539505155,1.0481404668651144e-278,0.651586868519665,5.700243225725535e-10,434
ENSG00000128383,38.69693843229968,1.1527146566513264e-07,3070.311031786216,0.0,0.6475631336828744,7.868320598005879e-10,495
ENSG00000197111,37.92902474563112,1.4344310647882837e-07,2077.402205641658,0.0,0.6167818220878345,7.976012789503044e-09,147
ENSG00000123146,37.60831619775528,1.5725406380425297e-07,3602.488550483138,0.0,0.6793515332537197,5.369603087631932e-11,539
ENSG00000162511,36.8986628052894,1.9297572807841136e-07,5748.902141004902,0.0,0.6003194537338865,2.4918193895815637e-08,324
ENSG00000104763,36.86223385083035,1.950236891717381e-07,1265.2865473026638,3.953850951947455e-277,0.6537980826902443,4.76508750091424e-10,648
ENSG00000010404,36.0522441883978,2.469255800912847e-07,364.45305001043334,3.019683547878979e-81,0.6122500205406396,1.0985214689666318e-08,744
ENSG00000173575,35.85984695021728,2.6125284476168197e-07,432.0394198258248,5.848047731542526e-96,0.5988989712394417,2.7409601525753807e-08,232
ENSG00000130592,35.50015989546662,2.904116024907384e-07,4860.0644102883325,0.0,0.5720255711252223,1.5293002394008712e-07,481
ENSG00000189067,35.44404660424509,2.952580470067936e-07,4494.2348430548045,0.0,0.6513919277048498,5.790600972794685e-10,160
ENSG00000076944,35.116940189959,3.252401054339986e-07,993.9231867449299,3.7596730109247773e-218,0.5763887406325734,1.1689811636672056e-07,710
ENSG00000126456,33.60814133102887,5.107809229254774e-07,638.632938482945,6.626076353395515e-141,0.5469673091706174,6.654186032780539e-07,509
ENSG00000117289,33.48145315312942,5.307245378048627e-07,8889.851110772732,0.0,0.5715918766846825,1.5703591997732128e-07,561
ENSG00000119535,33.335508924330654,5.547101472348364e-07,14376.925344768315,0.0,0.6190070381127971,6.803162226943168e-09,551
ENSG00000000938,33.32845827213214,5.558971561281107e-07,3035.8333732266838,0.0,0.6117393276918448,1.1385123955974067e-08,751
ENSG00000181163,33.12651380962298,5.910447078157151e-07,2378.717174080728,0.0,0.6102676078616553,1.2616416194717397e-08,194
ENSG00000077454,33.018973226356316,6.10700181122189e-07,855.993459589093,3.6189362431211985e-188,0.5605346933253665,3.046869908928536e-07,709
ENSG00000119048,32.85412624043732,6.42163713872253e-07,497.6936196660927,3.018522389259884e-110,0.6323682845925491,2.5487340443268597e-09,552
ENSG00000139644,32.16807988345476,7.924211670093582e-07,1904.7514149230121,0.0,0.6028633313187377,2.0984289908968083e-08,437
ENSG00000170458,32.09090633640598,8.114833669810872e-07,1696.3466130422355,0.0,0.6030140924575783,2.0770709751505393e-08,254
ENSG00000198830,31.77779987508509,8.938674774611727e-07,2136.9500524594396,0.0,0.5733317185326681,1.411690388080077e-07,122
ENSG00000198563,31.51336868596585,9.702318624463972e-07,1611.8361068443996,0.0,0.5754901266683584,1.2358849140677245e-07,131
ENSG00000018280,31.23036241983324,1.0595443424496166e-06,2545.003798718379,0.0,0.6208247073793969,5.968764890131274e-09,738
ENSG00000133872,31.07935452571186,1.110670162604628e-06,1531.850816653318,0.0,0.5787730133058235,1.0076838340783737e-07,466
ENSG00000196998,31.044037914830458,1.1229943247215967e-06,143.9920457945741,3.567220064738738e-33,0.5702023522330277,1.7090428408151861e-07,149
ENSG00000105835,30.43580227973695,1.3591779548211723e-06,8560.87931960179,0.0,0.6027796341610799,2.1103760236402096e-08,626
ENSG00000134905,30.18641403940157,1.4705018222588657e-06,526.5474960370888,1.5924447543498147e-116,0.571890227766889,1.5420032767271972e-07,462
ENSG00000087460,29.937318086007558,1.5912251802382913e-06,2064.1484763298577,0.0,0.6160603681700174,8.395869460305064e-09,698
ENSG00000109971,29.903836461323,1.6082234414499546e-06,3369.7885190979637,0.0,0.5888413903469094,5.31213774033412e-08,608
ENSG00000160255,29.482306701093954,1.8391972616704086e-06,3337.1794926703924,0.0,0.5983071156863276,2.851591463649223e-08,341
ENSG00000206082,29.350960091158413,1.9180428245030825e-06,4042.792133962222,0.0,0.6117337212645871,1.1389590012208236e-08,91
ENSG00000183283,29.197216940670998,2.014833184734943e-06,3758.9504081902264,0.0,0.5788381310942654,1.0035891436337933e-07,184
ENSG00000162704,29.035876976127355,2.1219037438357823e-06,1152.3115348900253,1.4109398937071894e-252,0.614779994365636,9.193221423878348e-09,322
ENSG00000146278,28.975614452547685,2.1634043927912403e-06,577.8781683972305,1.0854847712967103e-127,0.6141682659634856,9.599106006232461e-09,389
ENSG00000064666,28.525361869698564,2.50157602649836e-06,2196.0721985631435,0.0,0.5947217010891261,3.617853621943313e-08,722
ENSG00000114626,27.757334458920916,3.2117110562458064e-06,1342.401905510817,6.899312738003921e-294,0.5446930501735306,7.55980316100129e-07,576
ENSG00000152234,27.33809898415542,3.685341465951474e-06,782.3459930901474,3.718890625563661e-172,0.5458329934360061,7.092268486453223e-07,370
ENSG00000184009,27.105720997789025,3.978753627605102e-06,4373.615321860945,0.0,0.5502785821550213,5.51666924012111e-07,182
ENSG00000157514,26.99893707784935,4.121664559034465e-06,2386.96439838261,0.0,0.5154575814330027,3.5970592169550514e-06,357
ENSG00000188404,26.80613566366279,4.393428061996571e-06,6846.620024337887,0.0,0.5848834566027457,6.850119402324162e-08,164
ENSG00000169180,26.66265479771924,4.607771987973526e-06,1718.379618588336,0.0,0.5990840481806183,2.707209402862611e-08,268
ENSG00000116741,26.50765891393854,4.851625951054298e-06,3219.8191122723874,0.0,0.5202455256144796,2.8137689608283073e-06,564
ENSG00000109332,26.467139773510386,4.917569758898409e-06,931.0221799496521,1.7705051009645092e-204,0.5702302108845607,1.7061520343568833e-07,610
ENSG00000075624,26.15296617216969,5.461731892228394e-06,23617.826150210032,0.0,0.5681537893451692,1.93477964326373e-07,712
ENSG00000092199,26.148330425795685,5.470216284648283e-06,2834.0357480067464,0.0,0.5474961589871644,6.458774804221884e-07,684
ENSG00000160948,26.020448142273256,5.709775084563013e-06,399.2983284993129,7.828526897869053e-89,0.558155053027231,3.5030518373623825e-07,335
ENSG00000197746,25.901844704584693,5.941748117897432e-06,8653.373703235582,0.0,0.581052728102482,8.733465477327898e-08,143
ENSG00000147677,25.861630081966496,6.0226187231560895e-06,448.1362180737248,1.83538825829581e-99,0.5387061349283283,1.0530703296486017e-06,383
ENSG00000067560,25.517045265546837,6.7645124687430776e-06,1846.7933950835425,0.0,0.5595613332443875,3.22623237884758e-07,717
ENSG00000111679,25.367481144779504,7.115654277532487e-06,2023.601170668058,0.0,0.5604072507473338,3.0698062542044524e-07,593
ENSG00000175463,25.30905957275352,7.257936343884255e-06,515.7587590343467,3.542315405390477e-114,0.5042984166425325,6.285593694501296e-06,221
ENSG00000062716,25.159990110978356,7.634608560412028e-06,1531.1655977032444,0.0,0.5622163806724293,2.7589709776331336e-07,726
ENSG00000104894,24.894661984538637,8.356397487409823e-06,10335.474193145845,0.0,0.5307895096844013,1.6165586509131676e-06,645
ENSG00000167658,24.213610389091734,1.0554634633175485e-05,2841.1125062257966,0.0,0.48914748898564187,1.3004821996769884e-05,281
ENSG00000110719,24.179225882801813,1.068050261704982e-05,1421.9484080646207,3.5728901844527e-311,0.5378601904406889,1.1029955559559668e-06,603
ENSG00000136167,24.154365479487534,1.0772482297078566e-05,5778.528380206465,0.0,0.5745201404014979,1.3121614023146224e-07,452
ENSG00000070756,23.836275227630296,1.2025162213459994e-05,3259.120338996921,0.0,0.5241966238756979,2.291079937636155e-06,716
ENSG00000075415,23.146950964325356,1.529076650057386e-05,520.3227831300882,3.6001134631987633e-115,0.5058251355725243,5.830226987268795e-06,713
ENSG00000187109,23.115583302155258,1.545979508851322e-05,772.8556503387963,4.303864747130396e-170,0.505867625994906,5.818006759640218e-06,170
ENSG00000105698,22.93046489060675,1.6497884042018482e-05,366.2209401634582,1.244582949674148e-81,0.5244784107961975,2.257522915910002e-06,628
ENSG00000030582,22.85780232587573,1.692502216101143e-05,2034.1465343105467,0.0,0.5099737496479405,4.743903332159629e-06,731
ENSG00000100353,22.82709380822222,1.7108996097039416e-05,641.5712208263922,1.5213279431619323e-141,0.5156787748850733,3.5567699796579236e-06,671
ENSG00000074800,22.676382845421365,1.8042669494048207e-05,1534.9721312803297,0.0,0.5565667208394711,3.8426274949201327e-07,714
ENSG00000076662,22.527004944140057,1.9020720246340556e-05,1213.3527883835482,7.6450269727171e-266,0.48723853970974584,1.4217859327112346e-05,711
ENSG00000115307,22.45251175390953,1.9529007908314586e-05,381.0959321031079,7.183903634868339e-85,0.49193128709321665,1.1407971636629311e-05,572
ENSG00000169223,22.430141693493226,1.968439980515284e-05,516.5223598109851,2.4163141762390924e-114,0.5294604956785887,1.7353150528888064e-06,267
ENSG00000135486,22.37229762268181,2.00922266305025e-05,1971.6895273987298,0.0,0.5108902635053802,4.5309958502498555e-06,457
ENSG00000150991,21.630443621297683,2.618036779141101e-05,5478.233714703236,0.0,0.5424704158628137,8.556094391754563e-07,372
ENSG00000123416,21.447119458850974,2.7963542349694353e-05,1021.61002678744,3.6064072722700527e-224,0.528446962466802,1.8313409420305635e-06,535
ENSG00000198189,21.366068579131195,2.8791946293948043e-05,542.5323938322806,5.3029549451579165e-120,0.5436416778187068,8.016616793834438e-07,135
ENSG00000162032,21.031606785137846,3.249133316092001e-05,136.34294847488903,1.6788029494729952e-31,0.4592719131036266,4.9494081146477407e-05,330
ENSG00000130775,21.02915897424147,3.2520168560256905e-05,999.3868954482447,2.4408032185030767e-219,0.5504553839225927,5.461413399036564e-07,478
ENSG00000117984,20.791002016650687,3.545762003470827e-05,1107.3382824246028,8.393744789791509e-243,0.4921537301671408,1.1288614103811085e-05,558
ENSG00000196126,20.763627198251594,3.581260455513202e-05,4534.721972662799,0.0,0.50206630775162,7.01157248774679e-06,157
ENSG00000019582,20.573780236635745,3.837893533426783e-05,19834.252733428544,0.0,0.5062744628024508,5.7022083985450475e-06,737
ENSG00000089820,20.5061364746095,3.933916513573014e-05,562.8076698127946,2.0599615426861877e-124,0.4609165721407532,4.6130163421979285e-05,690
ENSG00000172531,20.501650271174405,3.9403729919086086e-05,606.4153863137016,6.736180393228409e-134,0.49304549736619474,1.0821722964598981e-05,239
ENSG00000204435,20.456503691851744,4.0059671829639816e-05,446.4315768079016,4.312310329024458e-99,0.4819895875799902,1.811936294770685e-05,103
ENSG00000112096,20.380499840121477,4.1189847670141255e-05,3613.0561618452293,0.0,0.5531638721612864,4.677514958288839e-07,589
ENSG00000110955,20.062360496419895,4.629479979222452e-05,920.9431029281537,2.7485236918724286e-202,0.485034162580555,1.574964808073219e-05,601
ENSG00000169714,19.934524705094706,4.85285476165163e-05,1093.590582099828,8.164673527876473e-240,0.527450536075194,1.930596485144079e-06,261
ENSG00000125818,19.787279064237843,5.1241747529317986e-05,167.59775268054244,2.4766386882216574e-38,0.5003913820359571,7.607057622737109e-06,519
ENSG00000160410,19.678246202752423,5.335273358677342e-05,857.4058686243517,1.784526637788518e-188,0.5561874401825514,3.928190372967149e-07,340
ENSG00000163464,19.59531694741263,5.501909367912258e-05,2084.5746796846147,0.0,0.5438953130707964,7.904093134910907e-07,314
ENSG00000116701,19.52586942714506,5.64563970283153e-05,2570.2801288778496,0.0,0.5363993393223163,1.1944936119291777e-06,565
ENSG00000141480,19.50136754331639,5.697281570518436e-05,1537.9404587898564,0.0,0.5019466980190791,7.052607217663392e-06,427
ENSG00000143119,19.33267593777282,6.066503858181098e-05,2428.7323544867977,0.0,0.5339048294138355,1.3674412970651322e-06,411
ENSG00000206172,19.136222018906786,6.528236157020843e-05,249778.75115682115,0.0,-0.5496551173350234,5.715756790429307e-07,90
ENSG00000173535,18.998280204906983,6.874301582026169e-05,1903.7782891380496,0.0,0.5223920846509789,2.5173340925158787e-06,233
ENSG00000114353,18.700560452049682,7.68822530596113e-05,2584.564367213255,0.0,0.49642913858071813,9.209244000568846e-06,578
ENSG00000122359,18.499730302156728,8.293714375926466e-05,995.7540761926933,1.5037604097696334e-218,0.493017883963771,1.0835905456210437e-05,544
ENSG00000266422,18.461680901074484,8.413943236893364e-05,6099.039145557372,0.0,0.5732048608550797,1.4227265420964384e-07,8
ENSG00000173113,18.219550632078167,9.222996903236383e-05,445.07963189636814,8.490568778223604e-99,0.4764052731966369,2.3350696116499508e-05,235
ENSG00000175482,18.193183658630655,9.315886105446691e-05,277.5404927381851,2.579726634788924e-62,0.43861430978337246,0.00011627707841433896,220
ENSG00000142657,17.67584720652748,0.00011350725775077845,1112.6181296148945,5.976135753036451e-244,0.5193730559598783,2.943372042121105e-06,416
ENSG00000085514,17.525458163135394,0.00012025765863349731,1202.7559829164893,1.5358462258804186e-263,0.46965469457480746,3.1544673003554824e-05,703
ENSG00000168961,17.359795920508883,0.0001281821747366556,698.2615148561586,7.140848850647293e-154,0.4688728736754221,3.264959414351418e-05,271
ENSG00000242574,17.33140061066712,0.0001295944285592565,1182.198478519612,4.509105613686549e-259,0.46866291570212715,3.2952387374288956e-05,27
ENSG00000160593,17.15430078896126,0.0001387780192976562,2081.19826057305,0.0,0.5151001640164904,3.66306656430096e-06,337
ENSG00000187514,16.93754643994106,0.0001509530644199131,2569.3514966025696,0.0,0.4619691302573996,4.4089944088031944e-05,168
ENSG00000100129,16.79854575455772,0.0001593447421576361,854.9113831705347,6.220494001150275e-188,0.44546993158843773,8.810865275980278e-05,675
ENSG00000204261,16.507420679189927,0.00017854205741964964,292.1201362879776,1.7163407279761318e-65,0.47577539087587595,2.402176473706951e-05,108
ENSG00000204642,16.47010102743972,0.00018117261503161213,1551.5320535652072,0.0,0.49146271161903465,1.1663263294553638e-05,97
ENSG00000158517,16.373620024139743,0.0001881630468256477,2304.4429635923602,0.0,0.4651510253620627,3.842010660618715e-05,355
ENSG00000166295,16.221116925215725,0.0001997941197151145,278.4956346867575,1.5974471647577788e-62,0.4397824696943621,0.00011095491416440616,292
ENSG00000169228,15.990120963880162,0.00021886594954080108,322.4215072529854,4.299823674524432e-72,0.4786948386855327,2.105560486215384e-05,266
ENSG00000204287,15.960213970387798,0.00022147109200325134,8104.042245746956,0.0,0.44795338482302166,7.956822560181874e-05,106
